,code,deck_limit,faction_code,faction_cost,flavor,illustrator,influence_limit,keywords,minimum_deck_size,pack_code,position,quantity,side_code,stripped_text,stripped_title,text,title,type_code,uniqueness,base_link,cost,memory_cost,strength,advancement_cost,agenda_points,trash_cost,faction,name,nrdb_key,num_ratings,ranking,rating,side,torb_id,count,decklists
40,08093,3,nbn,0,,Clark Huggins,,Sensie,,oh,93,3,corp,"While the Runner is accessing this agenda in R&D, they must reveal it. When the Runner accesses this agenda, you may place up to 2 advancement counters on 1 installed card you can advance.",Award Bait,"While the Runner is accessing this agenda in R&D, they must reveal it.
When the Runner accesses this agenda, you may place up to 2 advancement counters on 1 installed card you can advance.",Award Bait,agenda,False,,,,,3.0,1.0,,nbn,Award Bait,08093,113,729,1322.0,corp,731,91,36
41,08098,3,weyland-consortium,0,,David Ogilvie,,Initiative - Public,,oh,98,3,corp,"Install Hollywood Renovation faceup. Whenever you advance Hollywood Renovation, you may place 1 advancement token on another card that can be advanced (or 2 advancement tokens instead if there are 6 or more advancement tokens on Hollywood Renovation).",Hollywood Renovation,"Install Hollywood Renovation faceup.
Whenever you advance Hollywood Renovation, you may place 1 advancement token on another card that can be advanced (or 2 advancement tokens instead if there are 6 or more advancement tokens on Hollywood Renovation).",Hollywood Renovation,agenda,False,,,,,5.0,3.0,,weyland-consortium,Hollywood Renovation,08098,134,471,1483.0,corp,736,153,66
42,08100,3,neutral-corp,1,"EXT. KANSAS - DAY
DOROTHY (Miranda) gazes out at the horizon. A sudden gust of wind catches her hair. Above the windblasted prairie loom ominous STORM CLOUDS.
DOROTHY: If only I wasn't in Kansas anymore.
She begins to hum a haunting melody.",Ashley Witter,,,,oh,100,3,corp,,Vanity Project,,Vanity Project,agenda,False,,,,,6.0,4.0,,neutral-corp,Vanity Project,08100,125,524,1455.0,corp,738,143,70
43,08120,3,neutral-corp,0,,Tim Durning,,Initiative,,uot,120,3,corp,"When you score The Future is Now, search R&D for a card and add it to HQ. Shuffle R&D.",The Future is Now,"When you score The Future is Now, search R&D for a card and add it to HQ. Shuffle R&D.",The Future is Now,agenda,False,,,,,3.0,1.0,,neutral-corp,The Future is Now,08120,126,374,1550.0,corp,758,216,105
44,09004,1,nbn,0,"You had your shot, and you blew it.",Hannah Christenson,,,,dad,4,3,corp,click: Shuffle 15 Minutes into R&D. The Corp can trigger this ability while 15 Minutes is in the Runner's score area. Limit 1 per deck.,15 Minutes,"[click]: Shuffle 15 Minutes into R&D. The Corp can trigger this ability while 15 Minutes is in the Runner's score area.
Limit 1 per deck.",15 Minutes,agenda,True,,,,,2.0,1.0,,nbn,15 Minutes,09004,113,115,1786.0,corp,762,321,321
45,09005,3,nbn,0,"""The trick isn't software, it's hardware. Cyberspace is a collection of physical machines. If we control the machines, we control it all."" -KR Kane, ""Our Future""",Adam S. Doyle,,Security,,dad,5,3,corp,All tracer ice have +1 strength. The base trace strength of each subroutine is increased by 1.,Improved Tracers,"All <strong>tracer</strong> ice have +1 strength.
The base trace strength of each subroutine is increased by 1.",Improved Tracers,agenda,False,,,,,3.0,1.0,,nbn,Improved Tracers,09005,126,821,1267.0,corp,763,86,36
46,09006,3,nbn,0,"""Nobody ever lost a dollar by underestimating the taste of the public."" -Phineas Taylor Barnum",Tiffany Turrill,,Initiative,,dad,6,3,corp,All assets gain advertisement.,Rebranding Team,All assets gain <strong>advertisement</strong>.,Rebranding Team,agenda,False,,,,,4.0,2.0,,nbn,Rebranding Team,09006,102,864,1232.0,corp,764,44,20
47,09007,3,nbn,0,"""Yes <strong>and</strong> No.""",Liiga Smilshkalne,,Security,,dad,7,3,corp,"While the Runner is accessing this agenda in R&D, they must reveal it. When the Runner accesses this agenda while they are tagged, add it to your score area.",Quantum Predictive Model,"While the Runner is accessing this agenda in R&D, they must reveal it.
When the Runner accesses this agenda while they are tagged, add it to your score area.",Quantum Predictive Model,agenda,False,,,,,3.0,1.0,,nbn,Quantum Predictive Model,09007,117,234,1659.0,corp,765,505,214
48,09026,3,neutral-corp,1,"""Corporations are made up of people. It's ridiculous to think they'd be either all good or all bad."" -Sunny Lebeau",Meg Owenson,,Initiative,,dad,26,3,corp,Global Food Initiative is worth 1 fewer agenda point while in the Runner's score area.,Global Food Initiative,Global Food Initiative is worth 1 fewer agenda point while in the Runner's score area.,Global Food Initiative,agenda,False,,,,,5.0,3.0,,neutral-corp,Global Food Initiative,09026,100,6,2051.0,corp,784,2091,851
49,10011,3,haas-bioroid,0,"""I don't want a hopper. I've never even owned one. But every time I jack in, that same damn ad loads."" -2xTiger",BalanceSheet,,Research,,kg,11,3,corp,"The first time the Runner initiates a run each turn, you may draw 1 card or gain 1 credit.",Advanced Concept Hopper,"The first time the Runner initiates a run each turn, you may draw 1 card or gain 1[credit].",Advanced Concept Hopper,agenda,False,,,,,4.0,2.0,,haas-bioroid,Advanced Concept Hopper,10011,132,472,1483.0,corp,824,43,26
50,10033,3,nbn,0,"Data, not food, is one of the biggest exports from the Gujarat district of Mumbad.",Juan Novelletto,,Expansion,,bf,33,3,corp,Your maximum hand size is increased by 2.,Remote Data Farm,Your maximum hand size is increased by 2.,Remote Data Farm,agenda,False,,,,,4.0,2.0,,nbn,Remote Data Farm,10033,101,888,1201.0,corp,846,9,4
51,10035,3,weyland-consortium,0,,Kirsten Zirngibl,,Public,,bf,35,3,corp,"Install only faceup. (This agenda is neither rezzed nor unrezzed.) Whenever you advance this agenda, you may install 1 card from HQ in the root of a new server. If there are 5 or more hosted advancement counters, rez that card, ignoring all costs.",New Construction,"Install only faceup. <em>(This agenda is neither rezzed nor unrezzed.)</em>
Whenever you advance this agenda, you may install 1 card from HQ in the root of a new server. If there are 5 or more hosted advancement counters, rez that card, ignoring all costs.",New Construction,agenda,False,,,,,4.0,2.0,,weyland-consortium,New Construction,10035,126,463,1488.0,corp,848,55,35
52,10037,3,neutral-corp,0,"""You got it. We sell it. They buy it. Everyone wins.""",Samuel Leung,,Expansion,,bf,37,3,corp,"When you score Corporate Sales Team, place 10 credits on it. When each player's turn begins, take 1 credit from Corporate Sales Team.",Corporate Sales Team,"When you score Corporate Sales Team, place 10[credit] on it.
When each player's turn begins, take 1[credit] from Corporate Sales Team.",Corporate Sales Team,agenda,False,,,,,4.0,2.0,,neutral-corp,Corporate Sales Team,10037,97,311,1600.0,corp,850,507,257
53,10048,3,haas-bioroid,0,,Marko Fiedler,,Initiative,,dag,48,3,corp,"Place 3 agenda counters on Voting Machine Initiative when you score it. When the Runner's turn begins, you may spend 1 hosted agenda counter. If you do, the Runner loses click, if able.",Voting Machine Initiative,"Place 3 agenda counters on Voting Machine Initiative when you score it.
When the Runner's turn begins, you may spend 1 hosted agenda counter. If you do, the Runner loses [click], if able.",Voting Machine Initiative,agenda,False,,,,,5.0,3.0,,haas-bioroid,Voting Machine Initiative,10048,130,548,1439.0,corp,861,86,42
54,10066,3,haas-bioroid,0,,Sander Mosk,,Security,,si,66,3,corp,"Whenever the Runner searches the stack or installs a card from the heap, they trash 1 card from the grip at random.",Personality Profiles,"Whenever the Runner searches the stack or installs a card from the heap, they trash 1 card from the grip at random.",Personality Profiles,agenda,False,,,,,3.0,1.0,,haas-bioroid,Personality Profiles,10066,113,850,1243.0,corp,879,9,5
55,10088,3,jinteki,0,,Emilio Rodriguez,,Initiative - Psi,,tlm,88,3,corp,"The first time there is a successful run on HQ each turn, you and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits, you choose which cards the Runner accesses from HQ for the remainder of this run.",Dedicated Neural Net,"The first time there is a successful run on HQ each turn, you and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. If you and the Runner spent a different number of credits, you choose which cards the Runner accesses from HQ for the remainder of this run.",Dedicated Neural Net,agenda,False,,,,,3.0,1.0,,jinteki,Dedicated Neural Net,10088,107,668,1361.0,corp,901,25,12
56,10090,3,nbn,0,,Miguel Coronado III,,Initiative,,tlm,90,3,corp,"Whenever the Runner makes a successful run, you may place 1 advancement token on a card that can be advanced.",Puppet Master,"Whenever the Runner makes a successful run, you may place 1 advancement token on a card that can be advanced.",Puppet Master,agenda,False,,,,,5.0,3.0,,nbn,Puppet Master,10090,101,811,1272.0,corp,903,28,12
57,10105,3,jinteki,0,"They eat us, we eat them, the cycle goes on and on. -Omar Keung, ""the Flashpoint""",Johnny Morrow,,Research,,ftm,105,3,corp,"When Improved Protein Source is scored or stolen, the Runner gains 4 credits.",Improved Protein Source,"When Improved Protein Source is scored or stolen, the Runner gains 4[credit].",Improved Protein Source,agenda,False,,,,,4.0,3.0,,jinteki,Improved Protein Source,10105,101,715,1332.0,corp,918,41,23
